date,stake,stake_kelly_dich_0.1,stake_kelly_dich_0.25,stake_kelly_cal_0.1,stake_kelly_cal_0.25
2026-04-05,1816.34,1152.5900000000001,1827.3800000000006,881.0300000000007,1914.26
2026-04-05,1856.02,1167.4700000000003,1862.1000000000006,885.9900000000007,1919.22
2026-04-05,1847.02,1143.4700000000003,1832.1000000000006,876.9900000000007,1895.22
2026-04-05,1847.9,1146.9900000000002,1840.0200000000007,879.6300000000007,1902.26
2026-04-05,1846.9,1142.9900000000002,1830.0200000000007,878.6300000000007,1901.26
2026-04-05,1863.1000000000001,1145.6900000000003,1835.4200000000008,881.3300000000007,1903.96
2026-04-05,1862.1000000000001,1142.6900000000003,1827.4200000000008,877.3300000000007,1894.96
2026-04-05,1888.0700000000002,1146.4000000000003,1831.1300000000008,881.0400000000008,1898.67
2026-04-05,1888.94,1151.6200000000003,1839.8300000000008,884.5200000000008,1907.3700000000001
2026-04-05,1939.94,1177.1200000000003,1890.8300000000008,889.6200000000008,1912.47
2026-04-05,1839.94,1167.1200000000003,1880.8300000000008,879.6200000000008,1902.47
2026-04-05,1823.94,1163.1200000000003,1876.8300000000008,875.6200000000008,1898.47
2026-04-05,1860.42,1176.8000000000004,1913.3100000000009,880.1800000000007,1903.03
2026-04-05,1862.3000000000002,1177.7400000000005,1914.250000000001,881.1200000000008,1903.97
2026-04-05,1862.9500000000003,1179.0400000000004,1916.8500000000008,881.7700000000008,1906.57
2026-04-05,1853.9500000000003,1173.0400000000004,1901.8500000000008,878.7700000000008,1897.57
2026-04-05,1854.6000000000004,1173.6900000000005,1903.8000000000009,879.4200000000008,1899.52
2026-04-05,1880.8500000000004,1178.9400000000005,1909.0500000000009,884.6700000000008,1904.77
2026-04-05,1871.8500000000004,1157.9400000000005,1879.0500000000009,881.6700000000008,1901.77
2026-04-05,1822.8500000000004,1150.9400000000005,1872.0500000000009,874.6700000000008,1894.77
2026-04-06,1722.8500000000004,1140.9400000000005,1862.0500000000009,864.6700000000008,1884.77
2026-04-06,1721.8500000000004,1137.9400000000005,1854.0500000000009,863.6700000000008,1883.77
2026-04-06,1705.8500000000004,1133.9400000000005,1850.0500000000009,859.6700000000008,1879.77
2026-04-06,1704.8500000000004,1128.9400000000005,1840.0500000000009,858.6700000000008,1878.77
2026-04-06,1679.8500000000004,1118.9400000000005,1815.0500000000009,853.6700000000008,1858.77
2026-04-06,1678.8500000000004,1117.9400000000005,1814.0500000000009,852.6700000000008,1857.77
2026-04-06,1712.4500000000003,1134.7400000000005,1864.450000000001,861.0700000000007,1891.37
2026-04-06,1715.6000000000004,1135.7900000000004,1865.500000000001,862.1200000000007,1892.4199999999998
2026-04-06,1615.6000000000004,1085.7900000000004,1765.500000000001,852.1200000000007,1882.4199999999998
2026-04-06,1566.6000000000004,1078.7900000000004,1758.500000000001,845.1200000000007,1868.4199999999998
2026-04-06,1572.4500000000003,1082.6900000000005,1768.250000000001,847.0700000000007,1870.37
2026-04-06,1491.4500000000003,1073.6900000000005,1741.250000000001,838.0700000000007,1861.37
2026-04-06,1482.4500000000003,1070.6900000000005,1729.250000000001,826.0700000000007,1834.37
2026-04-06,1516.4700000000003,1074.4700000000005,1733.0300000000009,829.8500000000007,1838.1499999999999
2026-04-06,1569.4700000000003,1106.2700000000004,1786.0300000000009,835.1500000000007,1843.4499999999998
2026-04-06,1570.2200000000003,1108.5200000000004,1791.2800000000009,835.9000000000007,1844.1999999999998
2026-04-06,1569.2200000000003,1107.5200000000004,1790.2800000000009,834.9000000000007,1843.1999999999998
2026-04-06,1569.6900000000003,1107.9900000000005,1791.220000000001,835.3700000000007,1843.6699999999998
2026-04-06,1582.2900000000002,1110.0900000000004,1793.3200000000008,837.4700000000007,1845.7699999999998
2026-04-06,1533.2900000000002,1096.0900000000004,1751.3200000000008,816.4700000000007,1796.7699999999998
2026-04-06,1469.2900000000002,1080.0900000000004,1711.3200000000008,800.4700000000007,1756.7699999999998
2026-04-06,1453.2900000000002,1076.0900000000004,1707.3200000000008,796.4700000000007,1752.7699999999998
2026-04-06,1444.2900000000002,1067.0900000000004,1683.3200000000008,787.4700000000007,1725.7699999999998
2026-04-06,1443.2900000000002,1061.0900000000004,1673.3200000000008,786.4700000000007,1724.7699999999998
2026-04-06,1443.7400000000002,1061.5400000000004,1673.770000000001,786.9200000000008,1725.2199999999998
2026-04-06,1473.8200000000002,1076.5800000000004,1718.8900000000008,809.4800000000007,1792.8999999999999
